('19260501', 2025, 14396564.08)
('19260503', 852, 1065658.45)
('19261053', 775, 2504784.31)
('19260102', 681, 1986970.48)
('19030019', 520, 182724.0)
('19260100', 312, 791547.27)
('19260020', 299, 641543.93)
('19260502', 296, 565594.18)
('19260451', 176, 554187.52)
('19260416', 52, 141116.7)
('19260021', 51, 109146.2)
('19261060', 42, 19780.5)
('19260452', 36, 51743.6)
('19260453', 26, 99566.15)
('19260552', 22, 52136.8)
('19100178', 19, 38298.0)
('19261153', 18, 28225.6)
('19260300', 13, 32792.84)
('19260150', 13, 36175.54)
('19260454', 11, 12591.1)
('19260404', 10, 14114.0)
('19040039', 10, 72589.0)
('19261101', 8, 12297.4)
('19101200', 8, 11825.0)
('19100134', 8, 9181.6)
('19261051', 7, 17198.1)
('19260405', 7, 7379.0)
('19260252', 7, 18486.0)
('19260152', 6, 9247.1)
('19260403', 4, 1980.0)
('19040029', 4, 1412.0)
('19260760', 3, 9688.0)
('19260602', 3, 9677.0)
('19260028', 3, 8707.0)
('19260025', 3, 6909.0)
('5A0001', 2, 18632.5)
('19261412', 2, 0.0)
('19040040', 2, 2414.0)
('19261428', 1, 0.0)
('19261427', 1, 3856.0)
('19260850', 1, 4465.0)
('19260761', 1, 0.0)
('19260701', 1, 2575.0)
('19260600', 1, 0.0)
('19260200', 1, 9376.0)
('19100212', 1, 11292.0)
('19100028', 1, 2250.0)
